"t","ax","az","mx"
692469,54,196,-294
692509,49,212,-294
692550,32,183,-274
692590,41,204,-258
692630,50,210,-258
692669,47,198,-252
692708,42,198,-252
692748,42,204,-260
692789,39,207,-260
692829,31,200,-260
692869,35,194,-250
692909,32,194,-250
692949,28,198,-255
692989,44,200,-255
693030,10,192,-249
693070,15,194,-247
693110,12,199,-247
693150,45,208,-258
693190,36,210,-258
693231,-9,208,-256
693271,-3,205,-259
693310,24,176,-259
693349,39,185,-250
693389,26,204,-250
693429,-12,204,-260
693470,56,218,-245
693510,42,186,-245
693550,99,240,-251
693590,99,169,-251
693630,109,249,-245
693670,69,191,-239
693711,68,261,-239
693751,73,194,-244
693791,13,184,-244
693831,9,194,-235
693871,34,196,-252
693912,42,217,-252
693952,-13,196,-248
693991,29,188,-248
694030,50,191,-262
694070,39,180,-257
694110,26,206,-257
694151,27,216,-260
694191,53,195,-260
694231,-16,226,-257
694271,-14,213,-248
694311,10,218,-248
694351,15,195,-240
694392,-47,199,-240
694432,26,178,-249
694472,2,202,-247
694512,-45,206,-247
694552,0,206,-248
694593,-54,215,-248
694632,-47,208,-239
694671,-65,216,-250
694711,-26,215,-250
694751,-79,211,-241
694791,-38,185,-241
694832,-126,210,-244
694873,-67,176,-244
694913,-90,190,-244
694953,8,198,-223
694993,-10,226,-223
695033,-71,196,-223
695074,-21,209,-223
695114,11,204,-214
695154,43,228,-208
695194,39,204,-208
695234,34,205,-223
695273,12,203,-223
695313,3,191,-223
695353,55,268,-215
695393,141,232,-215
695433,24,186,-219
695473,57,211,-219
695513,23,244,-218
695554,32,198,-227
695594,30,194,-227
695634,31,189,-223
695674,22,198,-223
695714,-14,207,-226
695754,17,206,-227
695795,-22,169,-227
695835,-59,225,-225
695875,-53,225,-225
695915,-41,251,-225
695954,-27,243,-230
695993,-21,208,-230
696034,-41,121,-233
696074,98,135,-233
696114,128,190,-238
696154,135,187,-240
696194,166,212,-240
696234,180,186,-239
696274,224,202,-239
696315,201,205,-245
696355,171,179,-244
696395,170,189,-244
696435,37,162,-245
696475,4,184,-245
696515,-23,236,-248
696556,-39,212,-249
696595,39,200,-249
696634,-13,203,-247
696674,-41,226,-247
696714,16,180,-243
696754,-62,217,-243
696794,-53,197,-240
696835,58,177,-241
696875,-113,216,-241
696915,37,221,-236
696955,-104,182,-236
696995,-51,230,-227
697035,-97,222,-222
697076,-17,118,-222
697116,-96,225,-227
697156,-105,184,-227
697196,-69,206,-236
697235,-19,208,-243
697274,10,208,-243
697314,33,185,-250
697355,36,247,-250
697395,71,213,-241
697435,39,214,-243
697475,10,349,-243
697515,-70,216,-234
697556,-32,283,-234
697596,36,294,-245
697636,46,170,-232
697676,37,205,-232
697716,30,190,-241
697756,4,199,-241
697797,-51,174,-244
697837,-52,206,-242
697876,23,172,-242
697915,-73,213,-245
697954,-65,223,-245
697994,-52,234,-240
698035,73,175,-246
698075,104,175,-246
698115,143,184,-245
698155,148,157,-245
698195,173,165,-249
698235,227,149,-241
698275,214,219,-241
698315,212,192,-235
698356,248,137,-235
698396,160,242,-231
698436,38,263,-225
698476,-17,187,-225
698515,28,234,-239
698554,-72,192,-239
698594,63,194,-239
698635,40,259,-239
698675,-111,220,-230
698715,22,191,-227
698755,-91,225,-227
698795,-84,211,-232
698835,22,184,-232
698876,-157,208,-243
698916,-85,183,-245
698956,-48,161,-245
698996,-102,166,-237
699036,-88,184,-237
699076,-40,211,-227
699117,27,171,-236
699156,-14,179,-236
699195,52,283,-238
699234,54,229,-238
699274,68,240,-239
699314,-52,352,-231
699355,-114,154,-231
699396,24,233,-230
699436,70,169,-230
699476,88,111,-222
699516,17,173,-231
699556,-17,199,-231
699597,-26,147,-224
699637,-77,135,-224
699677,-71,206,-226
699717,-36,194,-223
699757,-59,200,-223
699796,-11,234,-234
699836,39,232,-234
699875,119,153,-234
699915,130,157,-236
699955,196,248,-236
699995,127,116,-243
700035,213,166,-243
700075,288,160,-251
700115,241,161,-251
700155,219,204,-251
700196,217,234,-259
700236,55,197,-259
700276,-43,220,-260
700316,-56,230,-260
700356,39,176,-266
700396,32,227,-264
700436,0,215,-264
700475,-30,199,-261
700514,-51,226,-261
700554,-59,207,-258
700594,35,132,-264
700634,32,206,-264
700675,-104,225,-255
700715,-91,193,-255
700755,-33,204,-250
700795,-99,166,-246
700835,-114,191,-246
700875,-38,201,-253
700916,37,204,-253
700956,29,202,-256
700996,51,217,-254
701036,54,252,-254
701075,96,267,-257
701114,-10,218,-257
701155,-40,131,-261
701195,22,260,-253
701235,101,211,-253
701275,34,146,-242
701315,42,169,-242
701355,22,182,-241
701396,43,211,-241
701436,43,172,-241
701476,5,195,-240
701516,-11,201,-240
701556,-48,180,-234
701596,-50,199,-244
701637,-27,220,-244
701677,-43,188,-240
701716,-8,196,-240
701755,-7,194,-235
701794,30,269,-235
701834,120,201,-241
701875,127,228,-236
701915,162,203,-236
701955,155,88,-246
701995,250,135,-246
702035,256,221,-241
702075,239,238,-228
702115,230,181,-228
702156,242,243,-225
702197,145,129,-225
702237,-10,202,-224
702277,-57,211,-231
702317,-83,242,-231
702356,48,193,-238
702395,69,194,-238
702436,-20,205,-240
702476,-23,202,-241
702516,-51,220,-241
702556,-44,235,-235
702596,-87,193,-235
702636,-97,200,-228
702677,-101,194,-227
702717,-100,171,-227
702757,-80,186,-243
702797,-37,190,-243
702837,45,211,-236
702877,7,180,-243
702918,48,257,-243
702958,45,250,-244
702998,-203,203,-244
703037,-36,37,-249
703076,-49,364,-248
703116,-18,311,-248
703157,48,206,-253
703197,45,170,-253
703237,33,191,-258
703277,36,210,-257
703317,45,173,-257
703357,43,160,-248
703398,38,185,-248
703438,12,176,-242
703478,-20,135,-242
703518,-58,174,-242
703558,-14,198,-247
703598,-29,225,-247
703639,-19,230,-240
703678,2,234,-238
703717,49,205,-238
703757,98,219,-240
703797,101,210,-240
703837,124,202,-249
703878,193,185,-249
703918,249,242,-240
703958,331,162,-240
703998,265,143,-240
704038,242,194,-227
704078,217,168,-227
704118,155,128,-228
704158,-31,278,-223
704199,-37,209,-223
704239,-80,197,-233
704279,-23,192,-233
704318,48,185,-232
704357,-50,218,-242
704397,-22,211,-242
704438,-98,227,-245
704478,23,193,-245
704518,16,182,-257
704558,-177,207,-262
704598,-29,181,-262
704638,-89,195,-256
704679,-98,207,-256
704719,-78,183,-252
704759,-7,203,-251
704799,66,208,-251
704839,6,187,-259
704879,21,223,-259
704920,30,125,-258
704960,-65,142,-264
704999,-14,291,-264
705038,106,136,-258
705078,48,189,-258
705118,24,161,-265
705159,38,176,-271
705199,50,155,-271
705239,36,194,-264
705279,46,207,-264
705319,49,223,-255
705359,35,191,-262
705400,-21,156,-262
705440,-42,184,-253
705480,-20,214,-253
705520,-34,202,-253
705560,-36,239,-253
705600,-20,230,-253
705640,-16,211,-252
705679,30,219,-252
705719,66,229,-249
705759,94,185,-249
705799,159,213,-251
705839,232,181,-260
705880,146,188,-260
705921,268,160,-262
705961,255,174,-262
706001,203,139,-266
706041,178,182,-266
706081,125,164,-266
706121,-2,197,-259
706162,69,232,-259
706202,-42,213,-255
706242,-45,261,-248
706281,21,211,-248
706320,21,232,-246
706360,-37,228,-246
706401,-43,243,-242
706441,-43,216,-237
706481,-114,191,-237
706521,-143,149,-236
706561,-74,166,-236
706601,-106,190,-239
706641,-53,173,-235
706682,-33,224,-235
706722,37,222,-238
706762,46,210,-238
706802,47,246,-246
706842,73,275,-257
706882,116,302,-257
706923,-24,191,-256
706962,91,132,-256
707001,23,194,-256
707041,61,231,-258
707081,24,168,-258
707121,44,165,-263
707162,41,203,-263
707202,47,135,-254
707242,30,181,-249
707282,27,197,-249
707322,9,198,-251
707362,-23,170,-251
707403,-59,235,-241
707443,-12,234,-241
707483,-58,206,-241
707523,-36,218,-241
707563,22,179,-241
707602,33,210,-243
707642,68,232,-243
707682,109,206,-248
707722,174,165,-255
707762,208,154,-255
707802,219,167,-252
707842,301,135,-252
707882,246,220,-258
707923,212,213,-248
707963,205,211,-248
708003,92,130,-264
708043,65,162,-264
708083,-21,191,-257
708123,-118,205,-255
708163,-46,213,-255
708204,91,223,-248
